date,bytesIn,bytesOut,packetsIn,packetsOut,applicationName,destinationAddress,protocolNumber,sourceAddress
7/14/2018 3:03:16.000000000 PM,7800,0,75,0,,111.16.126.6,,basement.inside.local
7/14/2018 3:03:16.000000000 PM,7800,0,75,0,,111.16.126.6,1,basement.inside.local
7/14/2018 3:05:53.000000000 PM,0,476,0,4,,255.255.255.255,,WIFI_192.168.1.111
7/14/2018 3:05:53.000000000 PM,0,476,0,4,Remote Replication Agent Connection,255.255.255.255,17,WIFI_192.168.1.111
7/14/2018 3:06:05.000000000 PM,1201040,0,6013,0,,d3.inside.local,,basement.inside.local
7/14/2018 3:06:05.000000000 PM,1200000,0,6000,0,Connected Corp,d3.inside.local,17,basement.inside.local
7/14/2018 3:06:05.000000000 PM,1040,0,13,0,SNS Quote,d3.inside.local,17,basement.inside.local
7/14/2018 3:08:03.000000000 PM,3078,0,16,0,,111.22.22.150,,239.255.255.250
7/14/2018 3:08:03.000000000 PM,3078,0,16,0,SSDP,111.22.22.150,17,239.255.255.250
7/14/2018 3:09:11.000000000 PM,5535,0,36,0,,111.22.22.153,,239.255.255.250
7/14/2018 3:09:11.000000000 PM,5535,0,36,0,SSDP,111.22.22.153,17,239.255.255.250
7/14/2018 3:09:24.000000000 PM,4923,0,28,0,,111.22.22.156,,239.255.255.250
7/14/2018 3:09:24.000000000 PM,4923,0,28,0,SSDP,111.22.22.156,17,239.255.255.250
7/14/2018 3:11:07.000000000 PM,0,796,0,4,,239.255.255.250,,work.inside.local
7/14/2018 3:11:07.000000000 PM,0,796,0,4,SSDP,239.255.255.250,17,work.inside.local
7/14/2018 3:14:58.000000000 PM,7380,0,48,0,,111.22.22.155,,239.255.255.250
7/14/2018 3:14:58.000000000 PM,7380,0,48,0,SSDP,111.22.22.155,17,239.255.255.250
7/14/2018 3:15:12.000000000 PM,1389000,0,6945,0,,top.inside.local,,basement.inside.local
7/14/2018 3:15:12.000000000 PM,1389000,0,6945,0,Connected Corp,top.inside.local,17,basement.inside.local
7/14/2018 3:16:14.000000000 PM,148,0,2,0,,production.inside.local,,basement.inside.local
7/14/2018 3:16:14.000000000 PM,148,0,2,0,,production.inside.local,89,basement.inside.local
7/14/2018 3:20:58.000000000 PM,5535,0,36,0,,111.22.22.151,,239.255.255.250
7/14/2018 3:20:58.000000000 PM,5535,0,36,0,SSDP,111.22.22.151,17,239.255.255.250
7/14/2018 3:21:27.000000000 PM,15399,0,68,0,,111.22.22.154,,239.255.255.250
7/14/2018 3:21:27.000000000 PM,15399,0,68,0,SSDP,111.22.22.154,17,239.255.255.250
7/14/2018 3:27:29.000000000 PM,73,0,1,0,,111.22.22.159,,224.0.0.251
7/14/2018 3:27:29.000000000 PM,73,0,1,0,Multicast DNS,111.22.22.159,17,224.0.0.251
7/14/2018 3:37:26.000000000 PM,64,0,1,0,,WIFI_192.168.1.222,,basement.inside.local
7/14/2018 3:37:26.000000000 PM,64,0,1,0,,WIFI_192.168.1.222,89,basement.inside.local
7/14/2018 3:50:55.000000000 PM,3690,0,24,0,,111.22.22.152,,239.255.255.250
7/14/2018 3:50:55.000000000 PM,3690,0,24,0,SSDP,111.22.22.152,17,239.255.255.250
7/14/2018 3:59:31.000000000 PM,0,119,0,1,,255.255.255.255,,WIFI_192.168.1.222
7/14/2018 3:59:31.000000000 PM,0,119,0,1,Remote Replication Agent Connection,255.255.255.255,17,WIFI_192.168.1.222
7/14/2018 4:00:15.000000000 PM,800800,0,4010,0,,d3.inside.local,,basement.inside.local
7/14/2018 4:00:15.000000000 PM,800000,0,4000,0,Connected Corp,d3.inside.local,17,basement.inside.local
7/14/2018 4:00:15.000000000 PM,800,0,10,0,SNS Quote,d3.inside.local,17,basement.inside.local
7/14/2018 4:00:26.000000000 PM,1402480,0,7031,0,,ops.inside.local,,basement.inside.local
7/14/2018 4:00:26.000000000 PM,1400000,0,7000,0,Connected Corp,ops.inside.local,17,basement.inside.local
7/14/2018 4:00:26.000000000 PM,2480,0,31,0,SNS Quote,ops.inside.local,17,basement.inside.local
7/14/2018 4:01:04.000000000 PM,5535,0,36,0,,111.22.22.156,,239.255.255.250
